recnum,b_raven,b_spol,b_nacionalnost,b_komunikacijske,b_utezi_dejavnikov,b_drugo,b_brez_pripombe,b_neuporaben,a_raven,a_spol,a_nacionalnost,a_komunikacijske,a_utezi_dejavnikov,a_drugo,a_brez_pripombe,a_neuporaben
15,3,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0
16,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,0
19,3,1,1,0,1,1,0,0,1.0,1,1,1,1,1,0,0
20,0,0,0,0,0,0,1,0,3.0,1,1,1,1,1,0,0
21,3,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,1,0,1.0,0,1,0,0,1,0,0
23,3,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
25,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1
27,2,1,0,0,0,1,0,0,3.0,0,0,0,1,1,0,0
28,2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0
29,3,1,1,1,0,0,0,0,3.0,0,0,0,0,1,0,0
30,2,1,0,0,1,0,0,0,3.0,0,1,0,1,1,0,0
31,0,0,0,0,0,0,0,1,3.0,0,1,1,1,1,0,0
33,2,0,1,0,0,0,0,0,3.0,0,0,0,1,1,0,0
34,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1
35,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,0
36,2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0
37,2,0,1,0,0,0,0,0,1.0,0,0,1,1,1,0,0
40,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
41,0,0,0,0,0,0,1,0,1.0,0,0,0,0,1,0,0
42,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
44,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
48,2,1,1,0,0,0,0,0,2.0,0,1,0,1,0,0,0
49,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
52,3,1,1,0,1,0,0,0,3.0,0,0,0,0,1,0,0
53,2,1,1,0,0,0,0,0,3.0,0,0,0,0,0,0,0
58,3,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0
59,2,1,1,0,0,0,0,0,3.0,0,0,1,0,0,0,0
60,2,1,0,0,1,0,0,0,3.0,0,0,1,1,1,0,0
61,2,1,0,0,1,0,0,0,0.0,0,0,1,1,1,0,0
62,1,1,1,0,0,1,0,0,1.0,0,0,0,0,1,0,0
63,2,1,1,0,1,0,0,0,3.0,0,0,0,1,1,0,0
64,2,1,0,0,0,0,0,0,3.0,0,0,1,1,1,0,0
65,2,1,1,0,1,0,0,0,3.0,0,1,0,1,1,0,0
66,2,1,1,0,0,0,0,0,3.0,0,1,1,1,1,0,0
67,3,0,0,0,1,1,0,0,3.0,0,0,0,1,0,0,0
68,2,1,1,0,1,0,0,0,2.0,0,0,0,0,0,0,0
69,2,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0
70,2,1,0,0,1,0,0,0,3.0,0,0,0,1,1,0,0
71,2,1,1,1,0,0,0,0,1.0,0,0,0,0,1,0,0
73,3,1,1,0,0,1,0,0,3.0,0,0,0,1,1,0,0
74,3,1,1,1,1,0,0,0,3.0,0,0,0,1,1,0,0
