mera casa,dimenzija,skupina,N,b,SE,p,znacilno
zaporedni ogled,Zaupanje (1-5),brez biasa,107,0.057,0.085,0.508,ne
zaporedni ogled,Zaupanje (1-5),z biasom,59,-0.007,0.126,0.958,ne
zaporedni ogled,Nezaupanje (1-5),brez biasa,107,-0.003,0.087,0.97,ne
zaporedni ogled,Nezaupanje (1-5),z biasom,59,0.013,0.119,0.91,ne
zaporedni ogled,Zadovoljstvo (1-7),brez biasa,127,-0.117,0.091,0.198,ne
zaporedni ogled,Zadovoljstvo (1-7),z biasom,68,-0.332,0.14,0.018,da
zaporedni ogled,Izvedljivost (1-5),brez biasa,127,-0.036,0.053,0.498,ne
zaporedni ogled,Izvedljivost (1-5),z biasom,68,-0.132,0.076,0.084,mejno
zaporedni ogled,Mentalni model (0-1),brez biasa,127,0.014,0.015,0.352,ne
zaporedni ogled,Mentalni model (0-1),z biasom,68,-0.014,0.018,0.447,ne
koledarski teden,Zaupanje (1-5),brez biasa,107,0.098,0.089,0.274,ne
koledarski teden,Zaupanje (1-5),z biasom,59,-0.022,0.137,0.874,ne
koledarski teden,Nezaupanje (1-5),brez biasa,107,0.02,0.092,0.832,ne
koledarski teden,Nezaupanje (1-5),z biasom,59,-0.061,0.11,0.58,ne
koledarski teden,Zadovoljstvo (1-7),brez biasa,127,-0.035,0.086,0.68,ne
koledarski teden,Zadovoljstvo (1-7),z biasom,68,-0.129,0.124,0.296,ne
koledarski teden,Izvedljivost (1-5),brez biasa,127,0.021,0.049,0.669,ne
koledarski teden,Izvedljivost (1-5),z biasom,68,-0.082,0.071,0.248,ne
koledarski teden,Mentalni model (0-1),brez biasa,127,0.022,0.014,0.1,ne
koledarski teden,Mentalni model (0-1),z biasom,68,0.006,0.019,0.756,ne
