analiza_resolved_code,n_participations,first_date,last_date
11344762,1,2026-04-09,2026-04-09
11357063,3,2026-03-04,2026-03-18
12227945,4,2026-03-04,2026-04-10
12229136,4,2026-03-04,2026-04-09
12328804,5,2026-03-04,2026-04-09
12730894,3,2026-03-04,2026-03-18
13147039,4,2026-03-04,2026-04-01
13401501,6,2026-03-04,2026-04-09
13507809,4,2026-03-04,2026-04-09
14392404,5,2026-03-04,2026-04-09
14819076,5,2026-03-04,2026-04-01
15107694,3,2026-03-04,2026-03-18
15510610,4,2026-03-04,2026-04-01
15550634,1,2026-03-04,2026-03-04
16379487,1,2026-03-04,2026-03-04
16498579,4,2026-03-04,2026-03-18
16770219,4,2026-03-04,2026-04-01
17037546,4,2026-03-04,2026-03-25
17038624,2,2026-03-04,2026-03-11
17730144,4,2026-03-04,2026-04-09
18243213,4,2026-03-04,2026-04-09
18521166,2,2026-03-04,2026-03-11
18541107,5,2026-03-04,2026-04-09
18896746,6,2026-03-04,2026-04-09
19263467,5,2026-03-04,2026-04-01
19284120,5,2026-03-04,2026-04-09
19455781,4,2026-03-04,2026-04-01
19664925,4,2026-03-04,2026-03-25
19780365,4,2026-03-04,2026-03-25
19958410,4,2026-03-04,2026-04-01
21223228,3,2026-03-17,2026-03-31
21225271,3,2026-03-12,2026-04-02
21272703,3,2026-03-12,2026-04-02
21302126,3,2026-03-09,2026-03-30
21388468,2,2026-03-17,2026-03-31
21426166,5,2026-03-09,2026-03-30
21586706,3,2026-03-09,2026-03-23
21653107,3,2026-03-17,2026-03-31
21773865,4,2026-03-11,2026-03-31
21896977,1,2026-03-30,2026-03-30
22124179,1,2026-03-31,2026-03-31
22172632,4,2026-03-09,2026-03-30
22339164,2,2026-03-11,2026-03-17
22420408,3,2026-03-17,2026-03-31
22579910,5,2026-03-09,2026-03-30
22860963,1,2026-03-17,2026-03-17
22876846,2,2026-03-26,2026-04-02
23136923,4,2026-03-12,2026-04-02
23318870,4,2026-03-09,2026-03-30
23647141,2,2026-03-12,2026-04-02
23992644,4,2026-03-09,2026-03-30
24139998,4,2026-03-09,2026-03-30
25355204,1,2026-03-31,2026-03-31
25689673,4,2026-03-12,2026-04-02
25800598,4,2026-03-09,2026-03-30
25842189,3,2026-03-17,2026-03-31
25849874,2,2026-03-12,2026-04-02
25942107,3,2026-03-12,2026-04-02
26191527,3,2026-03-11,2026-03-31
26234399,3,2026-03-17,2026-03-31
26540316,2,2026-03-18,2026-03-26
26649557,4,2026-03-11,2026-03-31
26900784,1,2026-03-26,2026-03-26
27036624,2,2026-03-17,2026-03-31
27103639,1,2026-03-31,2026-03-31
27170007,3,2026-03-17,2026-03-31
27320828,3,2026-03-11,2026-03-31
27634429,4,2026-03-09,2026-03-30
27637594,3,2026-03-12,2026-04-02
27720924,3,2026-03-12,2026-04-02
27912107,3,2026-03-17,2026-03-31
28229312,4,2026-03-09,2026-03-30
28354558,4,2026-03-09,2026-03-30
28539815,4,2026-03-09,2026-03-30
28627449,3,2026-03-17,2026-03-31
28822395,4,2026-03-09,2026-03-30
29087717,1,2026-03-26,2026-03-26
29318759,3,2026-03-12,2026-04-02
29369619,3,2026-03-12,2026-04-02
29408998,3,2026-03-17,2026-03-31
29690139,2,2026-03-17,2026-03-31
29912466,4,2026-03-09,2026-03-30
