analiza_resolved_code,2026-W10,2026-W11,2026-W12,2026-W13,2026-W14,2026-W15
11344762,0,0,0,0,0,1
11357063,1,1,1,0,0,0
12227945,1,1,1,0,0,1
12229136,1,1,1,0,0,1
12328804,1,1,1,1,0,1
12730894,1,1,1,0,0,0
13147039,1,1,1,0,1,0
13401501,1,1,1,1,1,1
13507809,1,1,0,0,1,1
14392404,1,1,1,0,1,1
14819076,1,2,1,0,1,0
15107694,1,1,1,0,0,0
15510610,1,1,1,0,1,0
15550634,1,0,0,0,0,0
16379487,1,0,0,0,0,0
16498579,1,2,1,0,0,0
16770219,1,1,1,0,1,0
17037546,1,1,1,1,0,0
17038624,1,1,0,0,0,0
17730144,1,1,1,0,0,1
18243213,1,0,1,0,1,1
18521166,1,1,0,0,0,0
18541107,1,1,1,0,1,1
18896746,1,1,1,1,1,1
19263467,1,1,1,1,1,0
19284120,1,1,0,1,1,1
19455781,1,1,1,0,1,0
19664925,1,1,1,1,0,0
19780365,1,1,1,1,0,0
19958410,1,1,1,0,1,0
21223228,0,0,1,1,1,0
21225271,0,1,0,1,1,0
21272703,0,1,0,1,1,0
21302126,0,1,0,1,1,0
21388468,0,0,1,0,1,0
21426166,0,2,1,1,1,0
21586706,0,1,1,1,0,0
21653107,0,0,1,1,1,0
21773865,0,1,1,1,1,0
21896977,0,0,0,0,1,0
22124179,0,0,0,0,1,0
22172632,0,1,1,1,1,0
22339164,0,1,1,0,0,0
22420408,0,0,1,1,1,0
22579910,0,1,2,1,1,0
22860963,0,0,1,0,0,0
22876846,0,0,0,1,1,0
23136923,0,1,1,1,1,0
23318870,0,1,1,1,1,0
23647141,0,1,0,0,1,0
23992644,0,1,1,1,1,0
24139998,0,1,1,1,1,0
25355204,0,0,0,0,1,0
25689673,0,1,1,1,1,0
25800598,0,1,1,1,1,0
25842189,0,0,1,1,1,0
25849874,0,1,0,0,1,0
25942107,0,1,0,1,1,0
26191527,0,1,0,1,1,0
26234399,0,0,1,1,1,0
26540316,0,0,1,1,0,0
26649557,0,1,1,1,1,0
26900784,0,0,0,1,0,0
27036624,0,0,1,0,1,0
27103639,0,0,0,0,1,0
27170007,0,0,1,1,1,0
27320828,0,1,1,0,1,0
27634429,0,1,1,1,1,0
27637594,0,1,0,1,1,0
27720924,0,1,1,0,1,0
27912107,0,0,1,1,1,0
28229312,0,1,1,1,1,0
28354558,0,1,1,1,1,0
28539815,0,1,1,1,1,0
28627449,0,0,1,1,1,0
28822395,0,1,1,1,1,0
29087717,0,0,0,1,0,0
29318759,0,1,0,1,1,0
29369619,0,1,0,1,1,0
29408998,0,0,1,1,1,0
29690139,0,0,1,0,1,0
29912466,0,1,1,1,1,0
