analiza_resolved_official_code,n_valid_responses
11344762,1
11357063,3
12227945,3
12229136,4
12328804,5
12730894,3
13147039,4
13401501,6
13507809,4
14392404,5
14819076,5
15107694,3
15510610,4
15550634,1
16379487,1
16498579,4
16770219,4
17037546,4
17038624,2
17730144,4
18243213,4
18521166,2
18541107,5
18896746,6
19263467,5
19284120,5
19455781,4
19664925,4
19780365,4
19958410,4
21223228,3
21225271,3
21272703,3
21302126,3
21388468,2
21426166,5
21586706,3
21653107,3
21773865,4
21896977,1
22124179,1
22172632,4
22339164,2
22420408,3
22579910,5
22860963,1
22876846,2
23136923,4
23318870,4
23647141,2
23992644,4
24139998,4
25355204,1
25689673,4
25800598,4
25842189,3
25849874,2
25942107,3
26191527,3
26234399,3
26540316,2
26649557,4
26900784,1
27036624,2
27103639,1
27170007,3
27320828,3
27634429,4
27637594,3
27720924,3
27912107,3
28229312,4
28354558,4
28539815,4
28627449,3
28822395,4
29087717,1
29318759,3
29369619,3
29408998,3
29690139,2
29912466,4
